"desc"	"pagesurl"	"catalogurl"	"img"	"name"	"pageurl"	"url"	"catalogname"	"subname"	"spec"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 30fps@3.0M(2048×1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184247114"	"Dahua DH-IPC-HFW8301EP"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW8301EP"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:273.3;Чувствительность Цвет,лк:0.1;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.01;"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 30fps@3.0M(2048×1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184237218"	"Dahua DH-IPC-HFW8301EP-H"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW8301EP-H"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:273.3;Чувствительность Цвет,лк:0.1;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.01;"
"1/3” 3M Aptina CMOS, 3-9mm motorized lens , H.264 & MJPEG, 30fps@3.0M(2048×1536), Color: 0. 1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184227564"	"Dahua DH-IPC-HFW8301EP-Z"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW8301EP-Z"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:273.3;Чувствительность Цвет,лк:0.1;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3 ... 9;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.01;"
"1/3” 3M Aptina CMOS, 3-9mm motorized lens , H.264 & MJPEG, 30fps@3.0M(2048×1536), Color: 0.1Lux/F1.2, WDR (120 dB), Smart Function, Triple streams, Ultra Defog, ROI, EIS, Day/Night, 3DNR, Alarm In/Out - 1/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184216858"	"Dahua DH-IPC-HFW8301EP-H-Z"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW8301EP-H-Z"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:273.3;Чувствительность Цвет,лк:0.1;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3 ... 9;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.01;"
"1/2.5” 5M CMOS, 4-9mm motorized lens , H.264 & MJPEG, 12fps@5M(2560×1920), 30fps@1080P, Color: 0.01Lux/F1.6, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V, PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184146780"	"Dahua DH-IPC-HFW5502CP-H"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5502CP-H"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:104;Общее кол-во пикселей,Мп:5;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:12;Длина,мм:306.7;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:104;Сменный объектив:Нет;Размер матрицы,"":1/2.5;День/Ночь:Да;Фокусное расстояние объектива:4 ... 9;Тип корпуса:Цилиндрическая (BULLET);"
"1/2.8” 2M Exmor CMOS, 5.1-61.2mm (12x zoom) motorized lens , H.264 & MJPEG, 30fps@1080P, Color: 0.05Lux/F1.6, WDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, Alarm In/Out - 1/1, Audio In/Out - 1/1, Micro SD, IR LED 100m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429183592555"	"Dahua DH-IPC-HFW5200EP-H-Z12"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5200EP-H-Z12"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:2;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1300;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:273.3;Чувствительность Цвет,лк:0.1;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/2.8;День/Ночь:Да;Фокусное расстояние объектива:5.1 ... 61.2;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184016770"	"Dahua DH-IPC-HFW5300EP-VF"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5300EP-VF"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:273.3;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184005900"	"Dahua DH-IPC-HFW5300EP-H-VF"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5300EP-H-VF"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:273.3;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.8 ... 12;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 3-9mm motorized lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429183972962"	"Dahua DH-IPC-HFW5300EP-Z"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5300EP-Z"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:273.3;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3 ... 9;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 3-9mm motorized lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.4, DWDR, Day/Night, 3DNR, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429183963006"	"Dahua DH-IPC-HFW5300EP-H-Z"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/product/DH-IPC-HFW5300EP-H-Z"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:94.8;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:273.3;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:94.8;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3 ... 9;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 3-9mm motorized lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184093009"	"Dahua DH-IPC-HFW5302CP-H"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW5302CP-H"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:104;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-20 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:306.7;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:104;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3 ... 9;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, Alarm In/Out - 2/1, Audio In/Out - 1/1, BNC, Micro SD, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184061811"	"Dahua DH-IPC-HFW5300CP-H"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW5300CP-H"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:104;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-20 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:306.7;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:104;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, IR LED 30m, IP66, DC12V/PoE, -30°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184052717"	"Dahua DH-IPC-HFW5300CP-L"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW5300CP-L"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:104;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-20 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:306.7;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:104;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 2.7-12mm vari-focal lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, IR LED 30m, IP66, DC12V/PoE, Heater, -40°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429184041944"	"Dahua DH-IPC-HFW5300CP-H-L"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW5300CP-H-L"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Тип поддерживаемых карт памяти:Micro SD;Ширина,мм:104;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-20 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Варифокальный;Вес,гр:1250;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:306.7;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC, 24V AC;Аудиовход:Да;Высота,мм:104;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:2.7 ... 12;Тип корпуса:Цилиндрическая (BULLET);"
"1/3” 3M Aptina CMOS, 3.6mm fixed lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429182655776"	"Dahua DH-IPC-HFW4300SP-0360B"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0360B"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Ширина,мм:66;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Фиксированный;Вес,гр:420;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:160;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC;Аудиовход:Нет;Высота,мм:70;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3.6;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.005;"
"1/3” 3M Aptina CMOS, 6mm fixed lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429182640590"	"Dahua DH-IPC-HFW4300SP-0600B"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0600B"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Ширина,мм:66;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Фиксированный;Вес,гр:420;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:160;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC;Аудиовход:Нет;Высота,мм:70;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:6;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.005;"
"1/3” 3M Aptina CMOS, 8mm fixed lens, H.264 & MJPEG, 20fps@3.0M(2048×1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V, PoE,-20°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429182614382"	"Dahua DH-IPC-HFW4300SP-0800B"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW4300SP-0800B"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Ширина,мм:66;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-30 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Фиксированный;Вес,гр:420;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:20;Длина,мм:160;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC;Аудиовход:Нет;Высота,мм:70;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:8;Тип корпуса:Цилиндрическая (BULLET);Чувствительность ЧБ,лк:0.005;"
"1/3” 3M Aptina CMOS, 3.6mm fixed lens, H.264/MJPEG, 20fps@3.0M(2048?1536)/30fps@1080P, Color: 0.01Lux/F1.2, DWDR, Day/Night, 3DNR, Auto iris, AWB, AGC, BLC, IR LED 30m, IP66, DC12V/PoE,-20°C~+60°C"	"http://dahua-russia.ru/catalog/ip-bullet"	"http://dahua-russia.ru/catalog/IP-камеры"	"http://dahua-russia.ru/imgs/1429182571848"	"Dahua DH-IPC-HFW4300EP-0360B"	"http://dahua-russia.ru/catalog/ip-bullet?&page=2"	"http://dahua-russia.ru/product/DH-IPC-HFW4300EP-0360B"	"IP-камеры"	"Цилиндрические камеры"	"Поддержка видеокодеков:H.264, Motion JPEG;Среда:Уличная;Встроенный микрофон:Нет;Тип матрицы:CMOS;Ширина,мм:66;Общее кол-во пикселей,Мп:3;PTZ:Нет;Температура:-20 ... 60;Тип устройства:IP-видеокамера;Тип объектива:Фиксированный;Вес,гр:500;ИК подсветка:Да;Кадров в секунду при максимальном разрешении:25;Длина,мм:168.1;Чувствительность Цвет,лк:0.01;Беспроводной адаптер:Нет;Поддержка ONVIF:Да;Питание:PoE 802.3af, 12V DC;Аудиовход:Нет;Высота,мм:58.4;Сменный объектив:Нет;Размер матрицы,"":1/3;День/Ночь:Да;Фокусное расстояние объектива:3.6;Тип корпуса:Цилиндрическая (BULLET);"
